,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Fri,Mon,Sat,Sun,Thu,Tue,Wed,year,temp,dewp,wdsp,NUM_COLLISIONS
156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,47.3,46,3.5,0.601156069
157,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,46.2,41.7,5.4,0.497109827
158,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,50.3,49.5,5.7,0.713872832
159,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,50.1,43.2,6,0.595375723
160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,40.1,23.6,3.3,0.514450867
161,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,40.3,24.6,1.7,0.5
162,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,41.4,23.2,4.1,0.797687861
163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,42.6,27.1,2.8,0.436416185
164,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,44.5,37.8,6.5,0.369942197
165,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,42,40.4,9.5,0.800578035
166,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,47.3,44.5,7,0.789017341
167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,44,30.5,9.3,0.630057803
168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,39.8,29,8.5,0.676300578
169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,37.4,25,10.6,0.49132948
170,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,37.8,20.5,7.6,0.104046243
171,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,37,19.8,3,0.421965318
172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,32.2,25.3,9.5,0.459537572
173,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,39.1,37.1,12.4,0.442196532
174,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,33,22.4,10,0.534682081
175,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,32.5,26.2,5.3,0.202312139
176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,32.4,21.1,11.9,0.112716763
177,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,31.5,17.2,6.8,0.317919075
178,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,38,25.6,15,0.023738872
179,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,27.5,12.1,12.4,0.317507418
180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,21.8,7.8,9.8,0.522255193
181,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,32.2,21.1,11.3,0.391691395
182,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,37.3,24.5,13.2,0.047477745
183,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,35.7,31.3,5.9,0.059347181
184,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,35.9,31,8.5,0.439169139
185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.8,34.1,10.4,0.415430267
186,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,39.9,37.6,5.3,0.338278932
187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,43.5,30.4,14.7,0.540059347
188,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,38,31.4,5.4,0.851632047
189,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,42.7,41.5,7.9,0.302670623
190,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,45.4,44.9,5.8,0
191,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,47.2,47.1,8.2,0.50148368
192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,42.3,38.3,8,0.424332344
193,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,41.6,40,8.8,0.608308605
194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,39.4,34.6,8.6,0.350148368
195,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,28.1,16.6,15,0.557863501
196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,35.9,26.6,15.3,0.329376855
197,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46.3,41.2,14.9,0.059347181
198,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,26.3,18.1,10.8,0.507418398
199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,16.2,-1.1,15.6,0.510385757
200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,14.3,-1.9,15.5,0.537091988
201,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,19,3.3,13.6,0.893175074
202,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,24.4,16.6,10.5,0.548961424
203,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,21.7,4.7,16.3,0.166172107
204,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,27.3,10.8,7.4,0.397626113
205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,35.4,34.9,4.9,0.50148368
206,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,45.1,44,12.4,0.367952522
207,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,46.5,40.3,23.1,0.649851632
208,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,33.1,15.5,18.2,0.596439169
209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,27.6,10.4,12.5,0.477744807
210,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,30.7,24.5,9.8,0.213649852
211,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,29,16.9,15.5,0.534124629
212,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,28.7,16.6,8.2,0.572700297
213,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,34.8,30.4,6.1,0.572700297
214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,29.4,13.4,10.2,0.454005935
215,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,34.3,28.5,16.3,0.979228487
216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,29.2,25.8,35.3,0.089020772
217,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,24.7,14.7,16.4,0.080118694
218,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,36.4,32,9.8,0.302670623
219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,41.4,36.6,11.9,0.370919881
220,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,36.1,25.2,7.7,0.584569733
221,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,36.6,29.3,8.9,0.765578635
222,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,38.6,33.2,6,0.685459941
223,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,39.2,35.8,8.6,0.225519288
224,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,30.9,25.6,23.6,0.21958457
